Code,Company Name,Nikkei Industrial Classification,Sector,Weight
1332,"NIPPON SUISAN KAISHA, LTD.",Fishery,Consumer Goods,0.06%
1605,INPEX CORP.,Mining,Materials,0.08%
1721,COMSYS HOLDINGS CORP.,Construction,Capital Goods/Others,0.30%
1801,TAISEI CORP.,Construction,Capital Goods/Others,0.10%
1802,OBAYASHI CORP.,Construction,Capital Goods/Others,0.13%
1803,SHIMIZU CORP.,Construction,Capital Goods/Others,0.09%
1808,HASEKO CORP.,Construction,Capital Goods/Others,0.04%
1812,KAJIMA CORP.,Construction,Capital Goods/Others,0.09%
1925,"DAIWA HOUSE IND. CO., LTD.",Construction,Capital Goods/Others,0.39%
1928,"SEKISUI HOUSE, LTD.",Construction,Capital Goods/Others,0.31%
1963,JGC HOLDINGS CORP.,Construction,Capital Goods/Others,0.23%
2002,NISSHIN SEIFUN GROUP INC.,Foods,Consumer Goods,0.20%
2269,"MEIJI HOLDINGS CO., LTD.",Foods,Consumer Goods,0.16%
2282,NH FOODS LTD.,Foods,Consumer Goods,0.23%
2413,"M3, INC.",Services,Consumer Goods,1.24%
2432,"DENA CO., LTD.",Services,Consumer Goods,0.07%
2501,SAPPORO HOLDINGS LTD.,Foods,Consumer Goods,0.09%
2502,"ASAHI GROUP HOLDINGS, LTD.",Foods,Consumer Goods,0.54%
2503,"KIRIN HOLDINGS CO., LTD.",Foods,Consumer Goods,0.27%
2531,TAKARA HOLDINGS INC.,Foods,Consumer Goods,0.13%
2768,SOJITZ CORP.,Trading Companies,Materials,0.03%
2801,KIKKOMAN CORP.,Foods,Consumer Goods,0.95%
2802,"AJINOMOTO CO., INC.",Foods,Consumer Goods,0.53%
2871,NICHIREI CORP.,Foods,Consumer Goods,0.17%
2914,JAPAN TOBACCO INC.,Foods,Consumer Goods,0.34%
3086,"J.FRONT RETAILING CO., LTD.",Retail,Consumer Goods,0.07%
3099,ISETAN MITSUKOSHI HOLDINGS LTD.,Retail,Consumer Goods,0.16%
3101,"TOYOBO CO., LTD.",Textiles & Apparel,Materials,0.01%
3289,TOKYU FUDOSAN HOLDINGS CORP.,Real Estate,Capital Goods/Others,0.09%
3382,"SEVEN & I HOLDINGS CO., LTD.",Retail,Consumer Goods,0.68%
3401,TEIJIN LTD.,Textiles & Apparel,Materials,0.03%
3402,"TORAY INDUSTRIES, INC.",Textiles & Apparel,Materials,0.09%
3405,"KURARAY CO., LTD.",Chemicals,Materials,0.13%
3407,ASAHI KASEI CORP.,Chemicals,Materials,0.12%
3436,SUMCO CORP.,Nonferrous Metals,Materials,0.02%
3659,"NEXON CO., LTD.",Services,Consumer Goods,0.71%
3861,OJI HOLDINGS CORP.,Pulp & Paper,Materials,0.06%
3863,"NIPPON PAPER INDUSTRIES CO., LTD.",Pulp & Paper,Materials,0.01%
4004,SHOWA DENKO K.K.,Chemicals,Materials,0.03%
4005,"SUMITOMO CHEMICAL CO., LTD.",Chemicals,Materials,0.06%
4021,NISSAN CHEMICAL CORP.,Chemicals,Materials,0.83%
4042,TOSOH CORP.,Chemicals,Materials,0.10%
4043,TOKUYAMA CORP.,Chemicals,Materials,0.05%
4061,"DENKA CO., LTD.",Chemicals,Materials,0.08%
4063,"SHIN-ETSU CHEMICAL CO., LTD.",Chemicals,Materials,2.15%
4151,"KYOWA KIRIN CO., LTD.",Pharmaceuticals,Technology,0.39%
4183,"MITSUI CHEMICALS, INC.",Chemicals,Materials,0.08%
4188,MITSUBISHI CHEMICAL GROUP CORP.,Chemicals,Materials,0.04%
4208,UBE CORP.,Chemicals,Materials,0.02%
4324,DENTSU GROUP INC.,Services,Consumer Goods,0.54%
4452,KAO CORP.,Chemicals,Materials,0.67%
4502,"TAKEDA PHARMACEUTICAL CO., LTD.",Pharmaceuticals,Technology,0.50%
4503,ASTELLAS PHARMA INC.,Pharmaceuticals,Technology,1.30%
4506,"SUMITOMO PHARMA CO., LTD.",Pharmaceuticals,Technology,0.13%
4507,"SHIONOGI & CO., LTD.",Pharmaceuticals,Technology,0.85%
4519,"CHUGAI PHARMACEUTICAL CO., LTD.",Pharmaceuticals,Technology,1.33%
4523,"EISAI CO., LTD.",Pharmaceuticals,Technology,1.14%
4543,TERUMO CORP.,Precision Instruments,Technology,1.98%
4568,"DAIICHI SANKYO CO., LTD.",Pharmaceuticals,Technology,1.66%
4578,"OTSUKA HOLDINGS CO., LTD.",Pharmaceuticals,Technology,0.57%
4631,DIC CORP.,Chemicals,Materials,0.03%
4689,Z HOLDINGS CORP.,Services,Consumer Goods,0.02%
4704,TREND MICRO INC.,Services,Consumer Goods,0.83%
4751,"CYBERAGENT, INC.",Services,Consumer Goods,0.12%
4755,"RAKUTEN GROUP, INC.",Services,Consumer Goods,0.08%
4901,FUJIFILM HOLDINGS CORP.,Chemicals,Materials,0.90%
4902,"KONICA MINOLTA, INC.",Precision Instruments,Technology,0.07%
4911,"SHISEIDO CO., LTD.",Chemicals,Materials,0.71%
5019,"IDEMITSU KOSAN CO., LTD.",Petroleum,Materials,0.16%
5020,"ENEOS HOLDINGS, INC.",Petroleum,Materials,0.06%
5101,"THE YOKOHAMA RUBBER CO., LTD.",Rubber,Materials,0.14%
5108,BRIDGESTONE CORP.,Rubber,Materials,0.63%
5201,AGC INC.,Glass & Ceramics,Materials,0.11%
5202,"NIPPON SHEET GLASS CO., LTD.",Glass & Ceramics,Materials,0.01%
5214,"NIPPON ELECTRIC GLASS CO., LTD.",Glass & Ceramics,Materials,0.09%
5232,"SUMITOMO OSAKA CEMENT CO., LTD.",Glass & Ceramics,Materials,0.04%
5233,TAIHEIYO CEMENT CORP.,Glass & Ceramics,Materials,0.03%
5301,"TOKAI CARBON CO., LTD.",Glass & Ceramics,Materials,0.13%
5332,TOTO LTD.,Glass & Ceramics,Materials,0.29%
5333,"NGK INSULATORS, LTD.",Glass & Ceramics,Materials,0.22%
5401,NIPPON STEEL CORP.,Steel,Materials,0.03%
5406,"KOBE STEEL, LTD.",Steel,Materials,0.01%
5411,"JFE HOLDINGS, INC.",Steel,Materials,0.02%
5541,"PACIFIC METALS CO., LTD.",Steel,Materials,0.03%
5631,"THE JAPAN STEEL WORKS, LTD.",Machinery,Capital Goods/Others,0.07%
5703,"NIPPON LIGHT METAL HOLDINGS CO., LTD.",Nonferrous Metals,Materials,0.02%
5706,MITSUI MINING & SMELTING CO.,Nonferrous Metals,Materials,0.04%
5707,"TOHO ZINC CO., LTD.",Nonferrous Metals,Materials,0.03%
5711,MITSUBISHI MATERIALS CORP.,Nonferrous Metals,Materials,0.03%
5713,"SUMITOMO METAL MINING CO., LTD.",Nonferrous Metals,Materials,0.28%
5714,"DOWA HOLDINGS CO., LTD.",Nonferrous Metals,Materials,0.11%
5801,"FURUKAWA ELECTRIC CO., LTD.",Nonferrous Metals,Materials,0.03%
5802,"SUMITOMO ELECTRIC IND., LTD.",Nonferrous Metals,Materials,0.20%
5803,FUJIKURA LTD.,Nonferrous Metals,Materials,0.14%
5831,"SHIZUOKA FINANCIAL GROUP, INC.",Banking,Financials,0.12%
6098,"RECRUIT HOLDINGS CO., LTD.",Services,Consumer Goods,1.59%
6103,OKUMA CORP.,Machinery,Capital Goods/Others,0.13%
6113,"AMADA CO., LTD.",Machinery,Capital Goods/Others,0.13%
6178,"JAPAN POST HOLDINGS CO., LTD.",Services,Consumer Goods,0.13%
6273,SMC CORP.,Machinery,Capital Goods/Others,0.76%
6301,KOMATSU LTD.,Machinery,Capital Goods/Others,0.39%
